Family,Family Key,Surveillance Score,Stress Tier,Stress Score,Borrower Count,Fund Count,Manager Count,Borrowers,Funds,Managers,Primary Industry,Total FV ($M),Total Cost ($M),Unrealized %,Nearest Maturity,Weighted Avg Rate %,Weighted Avg Spread (bps),Non-Accrual,Non-Accrual Funds,PIK,PIK Funds,First Seen,Last Seen,Period Count
"Zorro Bidco, Ltd.",zorro,8,YELLOW,2,1,1,1,"Zorro Bidco, Ltd.",BXSL,Blackstone Credit Advisors,Software (continued),44.051,75.471,-0.4163,8/13/2031,,,False,,False,,2025-12-31,2025-12-31,1
"OTG Management, LLC",otg management,8,YELLOW,2,1,1,1,"OTG Management, LLC",OCSL,Oaktree Capital Management,Airport Services,40.886,72.774,-0.4382,2/11/2030,8.5,,False,,False,,2025-09-30,2025-12-31,2
EnCap Energy Fund Investments,encap energy,8,YELLOW,2,1,1,1,EnCap Energy Fund Investments,MAIN,Main Street Capital (internal),,31.116,57.418,-0.4581,,,,False,,False,,2025-09-30,2025-12-31,2
Continental Intermodal Group LP,continental intermodal,8,YELLOW,2,1,1,1,Continental Intermodal Group LP,OCSL,Oaktree Capital Management,Oil & Gas Storage & Transportation,25.118,36.736,-0.3163,,,,False,,False,,2025-09-30,2025-12-31,2
"Reagent Chemical & Research, LLC",reagent chemical,8,YELLOW,2,1,1,1,"Reagent Chemical & Research, LLC",ARCC,Ares Capital Management,,23.5,47.0,-0.5,04/2030,9.06,,False,,False,,2025-09-30,2025-12-31,2
Diamond Mezzanine 24 LLC,diamond mezzanine,8,YELLOW,2,1,1,1,Diamond Mezzanine 24 LLC,ARCC,Ares Capital Management,Insurance,19.7,39.4,-0.5,10/2030,8.84,,False,,False,,2025-09-30,2025-12-31,2
"BW Holding, Inc. (Brook & Whittle)",bw brook,8,YELLOW,2,1,1,1,"BW Holding, Inc. (Brook & Whittle)",TCPC,Tennenbaum Capital Partners (BlackRock),Containers & Packaging,17.6222,33.7677,-0.4781,3/14/2029,7.88,,False,,False,,2025-12-31,2025-12-31,1
3 Step Sports LLC,step sports,8,YELLOW,2,1,1,1,3 Step Sports LLC,ARCC,Ares Capital Management,,15.4,30.8,-0.5,10/2029,10.17,,False,,False,,2025-09-30,2025-12-31,2
Kickapoo Ranch Pet Resort,kickapoo ranch,8,YELLOW,2,1,1,1,Kickapoo Ranch Pet Resort,PSEC,Prospect Capital Management,Diversified Consumer Services,8.329,13.113,-0.3648,1/10/2029,11.17,750.0,False,,False,,2025-09-30,2025-12-31,2
"Isagenix International, LLC",isagenix international,8,YELLOW,2,1,1,1,"Isagenix International, LLC",MAIN,Main Street Capital (internal),,7.095,12.292,-0.4228,4/14/2028,6.83,,False,,False,,2025-09-30,2025-12-31,2
"Premiere Buyer, LLC",premiere,8,YELLOW,2,1,1,1,"Premiere Buyer, LLC",ARCC,Ares Capital Management,,6.5,13.0,-0.5,05/2031,8.17,,False,,False,,2025-09-30,2025-12-31,2
Waste Services Group Pty Ltd,waste services,8,YELLOW,2,1,1,1,Waste Services Group Pty Ltd,FSK,FS/KKR Advisor,Commercial & Professional Services,4.8,7.4,-0.3514,,,,False,,False,,2025-09-30,2025-12-31,2
"INH Buyer, Inc. (IMA Health)",inh ima,8,YELLOW,2,1,1,1,"INH Buyer, Inc. (IMA Health)",TCPC,Tennenbaum Capital Partners (BlackRock),Healthcare Providers and Services,3.5998,6.5842,-0.4533,6/28/2028,7.0,,False,,False,,2025-12-31,2025-12-31,1
NorthSea Therapeutics,northsea therapeutics,8,YELLOW,2,1,1,1,NorthSea Therapeutics,HTGC,Hercules Capital (internal),Drug Discovery & Development,3.165,4.646,-0.3188,,6.0,,False,,False,,2025-09-30,2025-12-31,2
"Lorient Peregrine Investments, LP",lorient peregrine,8,YELLOW,2,1,1,1,"Lorient Peregrine Investments, LP",PNNT,PennantPark Investment Advisers,Business Services,2.339,4.53,-0.4837,,,,False,,False,,2025-09-30,2025-12-31,2
"GlassPoint, Inc.",glasspoint,8,YELLOW,2,1,1,1,"GlassPoint, Inc.",TCPC,Tennenbaum Capital Partners (BlackRock),Energy Equipment and Services,2.1736,4.1764,-0.4796,,,,False,,False,,2025-12-31,2025-12-31,1
Bicycle Therapeutics PLC,bicycle therapeutics,8,YELLOW,2,1,1,1,Bicycle Therapeutics PLC,HTGC,Hercules Capital (internal),Drug Discovery & Development,2.068,3.742,-0.4474,,,,False,,False,,2025-09-30,2025-12-31,2
Fifty AU Bidco Pty Ltd,fifty au,8,YELLOW,2,1,1,1,Fifty AU Bidco Pty Ltd,BCSF,Bain Capital Credit,Wholesale,1.547,2.402,-0.356,8/1/2031,5.0,,False,,False,,2025-09-30,2025-09-30,1
"Precision Ultimate Holdings, LLC",precision,8,YELLOW,2,1,1,1,"Precision Ultimate Holdings, LLC",BCSF,Bain Capital Credit,Aerospace & Defense,1.362,2.198,-0.3803,,,,False,,False,,2025-09-30,2025-09-30,1
"Gusto Sing Bidco Pte, Ltd.",gusto sing,8,YELLOW,2,1,1,1,"Gusto Sing Bidco Pte, Ltd.",BXSL,Blackstone Credit Advisors,Pharmaceuticals,1.275,2.0,-0.3625,11/15/2031,,,False,,False,,2025-12-31,2025-12-31,1
"Café Brazil, LLC",caf brazil,8,YELLOW,2,1,1,1,"Café Brazil, LLC",MAIN,Main Street Capital (internal),,1.2,1.742,-0.3111,,,,False,,False,,2025-09-30,2025-12-31,2
"REP Coinvest III- A Omni, L.P.",rep coinvest,8,YELLOW,2,1,1,1,"REP Coinvest III- A Omni, L.P.",BCSF,Bain Capital Credit,Transportation: Cargo,0.739,1.377,-0.4633,,,,False,,False,,2025-09-30,2025-09-30,1
Hylan Global LLC,hylan global,8,YELLOW,2,1,1,1,Hylan Global LLC,TCPC,Tennenbaum Capital Partners (BlackRock),Construction & Engineering,0.7384,1.4768,-0.5,,,,False,,False,,2025-12-31,2025-12-31,1
"Passport Labs, Inc.",passport labs,8,YELLOW,2,1,1,1,"Passport Labs, Inc.",TPVG,TriplePoint Advisers,Business Applications Software,0.693,1.302,-0.4677,,,,False,,False,,2025-09-30,2025-12-31,2
"Binswanger Enterprises, LLC",binswanger enterprises,8,YELLOW,2,1,1,1,"Binswanger Enterprises, LLC",MAIN,Main Street Capital (internal),,0.65,1.05,-0.381,,,,False,,False,,2025-09-30,2025-12-31,2
Dynavax Technologies,dynavax technologies,8,YELLOW,2,1,1,1,Dynavax Technologies,HTGC,Hercules Capital (internal),Drug Discovery & Development,0.564,1.1,-0.4873,,,,False,,False,,2025-09-30,2025-12-31,2
"Paris US Holdco, Inc. & 1001028292 Ontario Inc.",paris us,8,YELLOW,2,1,1,1,"Paris US Holdco, Inc. & 1001028292 Ontario Inc.",ARCC,Ares Capital Management,,0.4,0.8,-0.5,12/2031,8.47,,False,,False,,2025-09-30,2025-12-31,2
"Fulfil Solutions, Inc.",fulfil solutions,8,YELLOW,2,1,1,1,"Fulfil Solutions, Inc.",HTGC,Hercules Capital (internal),Warrant Investments,0.384,0.65,-0.4092,,,,False,,False,,2025-09-30,2025-12-31,2
"Kore.ai, Inc.",kore ai,8,YELLOW,2,1,1,1,"Kore.ai, Inc.",HTGC,Hercules Capital (internal),Warrant Investments,0.246,0.416,-0.4087,,,,False,,False,,2025-09-30,2025-12-31,2
Landing Holdings Inc.,landing,8,YELLOW,2,1,1,1,Landing Holdings Inc.,HTGC,Hercules Capital (internal),Consumer & Business Services,0.126,0.232,-0.4569,,,,False,,False,,2025-09-30,2025-12-31,2
AOM Infusion,aom infusion,8,YELLOW,2,1,1,1,AOM Infusion,BCSF,Bain Capital Credit,Healthcare & Pharmaceuticals,0.005,0.009,-0.4444,3/19/2032,,,False,,False,,2025-09-30,2025-09-30,1
"IRI Group Holdings, Inc. and Circana, LLC",iri group,7,YELLOW,1,3,4,3,"IRI Group Holdings, Inc., IRI Group Holdings, Inc. ), IRI Group Holdings, Inc. and Circana, LLC","ARCC, BXSL, OBDC, OTF","Ares Capital Management, Blackstone Credit Advisors, Blue Owl Credit Advisors",Software (continued),815.561,653.143,0.2487,12/2027,7.97,,False,,False,,2025-09-30,2025-12-31,2
"Delinea Buyer, Inc.",delinea,7,YELLOW,1,3,3,2,"Delinea Buyer, Inc., Delinea Inc., Delinea Inc.*","GBDC, OBDC, OTF","Blue Owl Credit Advisors, GC Advisors",,431.444,429.729,0.004,3/2028,,,False,,False,,2025-09-30,2025-12-31,2
Blue Owl Credit SLF LLC,blue owl,7,YELLOW,1,3,2,1,"Blue Owl Credit SLF LLC, Blue Owl Cross-Strategy Opportunities LLC, Blue Owl Leasing LLC","OBDC, OTF",Blue Owl Credit Advisors,Joint ventures,1347.011,1357.532,-0.0078,,,,False,,False,,2025-09-30,2025-12-31,2
"Bayside Parent, LLC *",bayside,7,YELLOW,1,3,2,2,"Bayside HoldCo, LLC, Bayside Parent, LLC, Bayside Parent, LLC *","CGBD, SLRC","Carlyle Investment Management, SLR Capital Partners",Health Care Providers & Services,44.625,35.775,0.2474,5/2023,,,False,,True,SLRC,2025-09-30,2025-12-31,2
"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.",cornerstone ondemand,7,YELLOW,1,2,3,2,"Cornerstone OnDemand, Inc., Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.","ARCC, OBDC, OTF","Ares Capital Management, Blue Owl Credit Advisors",Human resource support services,1202.4589,1341.533,-0.1037,10/2026,10.19,,False,,True,ARCC,2025-09-30,2025-12-31,2
"Everbridge Holdings, LLC",everbridge,7,YELLOW,1,2,3,3,"Everbridge Holdings, LLC, Everbridge, Inc.","BXSL, MSDL, OCSL","Blackstone Credit Advisors, Morgan Stanley Investment Management, Oaktree Capital Management",Software (continued),147.163,147.403,-0.0016,7/2/2031,5.0,,False,,False,,2025-09-30,2025-12-31,2
West Star Aviation Inc,west star aviation,7,YELLOW,1,2,3,3,"West Star Aviation Acquisition, LLC, West Star Aviation Inc","BXSL, FSK, MAIN","Blackstone Credit Advisors, FS/KKR Advisor, Main Street Capital (internal)",Aerospace & Defense,117.965,111.288,0.06,3/1/2028,9.58,,False,,False,,2025-09-30,2025-12-31,2
ASP-r-pac Holdings LP,asp r,7,YELLOW,1,2,3,3,"ASP-r-pac Acquisition Co LLC, ASP-r-pac Holdings LP","ARCC, BCSF, OCSL","Ares Capital Management, Bain Capital Credit, Oaktree Capital Management",Materials,87.974,85.971,0.0233,12/2027,6.91,,False,,False,,2025-09-30,2025-12-31,2
"Alera Group, Inc.",alera group,7,YELLOW,1,2,3,3,"Alera Group Intermediate Holdings Inc, Alera Group, Inc.","BXSL, FSK, OBDC","Blackstone Credit Advisors, Blue Owl Credit Advisors, FS/KKR Advisor",Insurance,77.755,77.43,0.0042,10/2/28,,,False,,False,,2025-09-30,2025-12-31,2
athenahealth Group Inc.,athenahealth group,7,YELLOW,1,2,3,3,"AthenaHealth Group Inc., Minerva Holdco, Inc. and BCPE Co-Invest , LP, athenahealth Group Inc.","ARCC, OCSL, OTF","Ares Capital Management, Blue Owl Credit Advisors, Oaktree Capital Management",Health Care Technology,68.011,672.638,-0.8989,02/2029,10.71,,False,,True,ARCC,2025-09-30,2025-12-31,2
"LDS Buyer, LLC",lds,7,YELLOW,1,2,3,3,"LDS Buyer, LLC, LDS Intermediate Holdings, L.L.C.","CGBD, GBDC, OCSL","Carlyle Investment Management, GC Advisors, Oaktree Capital Management",Transportation: Cargo,57.841,57.742,0.0017,2/7/2032,5.0,,False,,False,,2025-09-30,2025-12-31,2
"MBS Holdings, Inc.",mbs,7,YELLOW,1,2,3,2,"MBS Holdings, Inc., MBS Parent, LLC","PFLT, PNNT, TCPC","PennantPark Investment Advisers, Tennenbaum Capital Partners (BlackRock)",Internet Software and Services,44.7501,46.115,-0.0296,04/16/27,9.08,,False,,False,,2025-09-30,2025-12-31,2
"Ground Penetrating Radar Systems, LLC",ground penetrating,7,YELLOW,1,2,3,3,"Ground Penetrating Radar Systems, LLC, Ground Penetrating Radar Systems, LLC and RC VI Buckeye Holdings LLC","ARCC, BXSL, MSDL","Ares Capital Management, Blackstone Credit Advisors, Morgan Stanley Investment Management",Commercial Services & Supplies,23.557,64.786,-0.6364,1/2/2032,8.23,,False,,False,,2025-09-30,2025-12-31,2
"RailPros Parent, LLC",railpros,7,YELLOW,1,2,3,3,"RailPros Parent, LLC, Railpros Inc","BXSL, FSK, MSDL","Blackstone Credit Advisors, FS/KKR Advisor, Morgan Stanley Investment Management",Commercial Services & Supplies (continued),15.354,15.458,-0.0067,5/24/2032,,,False,,False,,2025-09-30,2025-12-31,2
Worldremit Group Limited,worldremit group,7,YELLOW,1,2,3,3,"Worldremit Group Limited, Worldremit Group Limited (United Kingdom)","HTGC, TCPC, TPVG","Hercules Capital (internal), Tennenbaum Capital Partners (BlackRock), TriplePoint Advisers",Consumer & Business Services,8.7073,3.7754,1.3063,,,,False,,False,,2025-09-30,2025-12-31,2
"OSP Embedded Purchaser, LLC",osp embedded,7,YELLOW,1,2,2,1,"OSP Embedded Aggregator, LP, OSP Embedded Purchaser, LLC","PFLT, PNNT",PennantPark Investment Advisers,Aerospace and Defense,153.435,164.57,-0.0677,12/17/29,9.58,,False,,False,,2025-09-30,2025-12-31,2
Caerus Midco 2 S.à r.l.,caerus srl,7,YELLOW,1,2,2,2,"Caerus Midco 2 S.à r.l., Caerus US 1, Inc.","BXSL, MSDL","Blackstone Credit Advisors, Morgan Stanley Investment Management",Health Care Technology,152.975,153.297,-0.0021,5/25/2022,,,False,,False,,2025-09-30,2025-12-31,2
"Pareto Health Intermediate Holdings, Inc.*",pareto health,7,YELLOW,1,2,2,2,"Pareto Health Intermediate Holdings, Inc., Pareto Health Intermediate Holdings, Inc.*","GBDC, MSDL","GC Advisors, Morgan Stanley Investment Management",Health Care Providers & Services,129.764,130.829,-0.0081,,,,False,,False,,2025-09-30,2025-12-31,2
"EDS Buyer, LLC",eds,7,YELLOW,1,2,2,1,"EDS Buyer, LLC, EDS Topco, LP","PFLT, PNNT",PennantPark Investment Advisers,Aerospace and Defense,91.049,93.195,-0.023,01/10/29,8.45,,False,,False,,2025-09-30,2025-12-31,2
"Ro Health, LLC",ro health,7,YELLOW,1,2,2,1,"Ro Health Holdings, Inc., Ro Health, LLC","PFLT, PNNT",PennantPark Investment Advisers,Healthcare Providers and Services,75.756,82.338,-0.0799,01/17/31,8.34,,False,,False,,2025-09-30,2025-12-31,2
"Anteriad, LLC",anteriad,7,YELLOW,1,2,2,1,"Anteriad Holdings, LP, Anteriad, LLC","PFLT, PNNT",PennantPark Investment Advisers,Media,65.852,69.426,-0.0515,06/30/26,9.73,,False,,False,,2025-09-30,2025-12-31,2
"Project Granite Buyer, Inc.",granite,7,YELLOW,1,2,2,1,"Project Granite Buyer, Inc., Project Granite Holdings, LLC","PFLT, PNNT",PennantPark Investment Advisers,Professional Services,52.195,57.2,-0.0875,12/31/30,9.56,,False,,False,,2025-09-30,2025-12-31,2
"Bioderm, Inc.",bioderm,7,YELLOW,1,2,2,1,"BioDerm Holdings, LP, Bioderm, Inc.","PFLT, PNNT",PennantPark Investment Advisers,"Healthcare, Education and Childcare",39.109,39.313,-0.0052,01/31/28,10.57,,False,,False,,2025-09-30,2025-12-31,2
"Neptune Holdings, Inc.*",neptune,7,YELLOW,1,2,2,2,"Neptune Holdings, Inc., Neptune Holdings, Inc.*","BXSL, GBDC","Blackstone Credit Advisors, GC Advisors",Healthcare Technology,29.815,29.497,0.0108,8/31/2030,,,False,,False,,2025-09-30,2025-12-31,2
"AAH Topco., LLC",aah,7,YELLOW,1,2,2,2,"AAH TOPCO, LLC *, AAH Topco., LLC","CGBD, GBDC","Carlyle Investment Management, GC Advisors",Healthcare Providers & Services,27.789,27.881,-0.0033,12/31/2027,,,False,,False,,2025-09-30,2025-12-31,2
"AGS American Glass Services Acquisition, LLC",ags american,7,YELLOW,1,2,2,2,"AGS American Glass Services Acquisition, LLC, AGS American Services Investments, L.P.","BCSF, MAIN","Bain Capital Credit, Main Street Capital (internal)",Construction & Building,21.655,21.9,-0.0112,7/24/2031,9.14,,False,,False,,2025-09-30,2025-12-31,2
"NEP Group, Inc. et al",nep group,7,YELLOW,1,2,2,2,"NEP Group Inc, NEP Group, Inc. et al","OCSL, TCPC","Oaktree Capital Management, Tennenbaum Capital Partners (BlackRock)",Broadcasting,19.3166,22.1485,-0.1279,8/19/2026,4.36,150.0,False,,True,TCPC,2025-09-30,2025-12-31,2
"WCP Ivyrehab QP CF Feeder, LP",wcp ivyrehab,7,YELLOW,1,2,2,1,"WCP Ivyrehab Coinvestment, LP, WCP Ivyrehab QP CF Feeder, LP","PFLT, PNNT",PennantPark Investment Advisers,"Healthcare, Education and Childcare",18.821,16.292,0.1552,6/27/2022,,,False,,False,,2025-09-30,2025-12-31,2
"Tinicum Space Coast Co-Invest, LLC",tinicum space,7,YELLOW,1,2,2,1,"Tinicum Space Coast Co-Invest, LLC, Tinicum Space Coast Holdings, LLC","PFLT, PNNT",PennantPark Investment Advisers,Aerospace and Defense,15.191,5.645,1.6911,12/4/2019,,,False,,False,,2025-09-30,2025-12-31,2
"United Land Services Intermediate Parent Holdings, LLC",united land services,7,YELLOW,1,2,1,1,"United Land Services Holdings, LLC, United Land Services Intermediate Parent Holdings, LLC",PNNT,PennantPark Investment Advisers,Environmental Services,19.389,21.613,-0.1029,01/12/2026,14.75,,False,,True,PNNT,2025-09-30,2025-12-31,2
Recochem,recochem,7,YELLOW,1,1,2,2,Recochem,"GSBD, OBDC","Blue Owl Credit Advisors, Goldman Sachs Asset Management",Chemicals,498.476,491.477,0.0142,11/01/30,9.18,,False,,False,,2025-09-30,2025-12-31,2
"Arctic Wolf Networks, Inc.",arctic wolf,7,YELLOW,1,1,2,2,"Arctic Wolf Networks, Inc.","GBDC, OTF","Blue Owl Credit Advisors, GC Advisors",IT Services,489.835,399.833,0.2251,02/2020,,,False,,False,,2025-09-30,2025-12-31,2
"MB2 Dental Solutions, LLC",mb2 dental,7,YELLOW,1,1,2,2,"MB2 Dental Solutions, LLC","BXSL, FSK","Blackstone Credit Advisors, FS/KKR Advisor",Health Care Providers & Services (continued),435.948,433.802,0.0049,2/13/31,,,False,,False,,2025-09-30,2025-12-31,2
Insight Global LLC,insight global,7,YELLOW,1,1,2,2,Insight Global LLC,"FSK, OBDC","Blue Owl Credit Advisors, FS/KKR Advisor",Commercial & Professional Services,364.998,363.887,0.0031,9/22/28,,,False,,False,,2025-09-30,2025-12-31,2
USIC Holdings Inc,usic,7,YELLOW,1,1,2,2,USIC Holdings Inc,"FSK, OCSL","FS/KKR Advisor, Oaktree Capital Management",Commercial & Professional Services,327.253,326.102,0.0035,9/10/31,5.55,,False,,False,,2025-09-30,2025-12-31,2
"Bayshore Intermediate #2, LP",bayshore,7,YELLOW,1,1,2,2,"Bayshore Intermediate #2, LP","BXSL, GBDC","Blackstone Credit Advisors, GC Advisors",Software,325.198,324.978,0.0007,10/2021,,,False,,False,,2025-09-30,2025-12-31,2
People Corporation,people,7,YELLOW,1,1,2,2,People Corporation,"ARCC, GBDC","Ares Capital Management, GC Advisors",,286.314,292.311,-0.0205,02/2027,7.57,,False,,False,,2025-09-30,2025-12-31,2
Doxim Inc.,doxim,7,YELLOW,1,1,2,2,Doxim Inc.,"ARCC, GSBD","Ares Capital Management, Goldman Sachs Asset Management",Financial Services,265.661,269.81,-0.0154,06/01/26,10.71,,False,,False,,2025-09-30,2025-12-31,2
"Gigamon, Inc.",gigamon,7,YELLOW,1,1,2,2,"Gigamon, Inc.","BXSL, FSK","Blackstone Credit Advisors, FS/KKR Advisor",Software (continued),231.059,234.182,-0.0133,3/10/28,,,False,,False,,2025-09-30,2025-12-31,2
"AGI-CFI Holdings, Inc.",agi cfi,7,YELLOW,1,1,2,2,"AGI-CFI Holdings, Inc.","BXSL, MSDL","Blackstone Credit Advisors, Morgan Stanley Investment Management",Air Freight & Logistics,207.929,206.799,0.0055,6/11/2027,,,False,,False,,2025-09-30,2025-12-31,2
"Marketplace Events Acquisition, LLC",marketplace events,7,YELLOW,1,1,2,1,"Marketplace Events Acquisition, LLC","PFLT, PNNT",PennantPark Investment Advisers,Media,204.8,228.2,-0.1025,12/19/30,9.12,,False,,False,,2025-09-30,2025-12-31,2
Lexitas Inc,lexitas,7,YELLOW,1,1,2,2,Lexitas Inc,"FSK, GSBD","FS/KKR Advisor, Goldman Sachs Asset Management",Commercial & Professional Services,202.083,197.134,0.0251,5/18/29,10.76,,False,,False,,2025-09-30,2025-12-31,2
"Channel Partners Intermediateco, LLC",channel partners,7,YELLOW,1,1,2,2,"Channel Partners Intermediateco, LLC","MAIN, SCM","Main Street Capital (internal), Stellus Capital Management",​,192.688,194.998,-0.0118,2/24/2022,11.35,,False,,False,,2025-09-30,2025-12-31,2
Trinity Air Consultants Holdings Corp.,trinity air,7,YELLOW,1,1,2,2,Trinity Air Consultants Holdings Corp.,"BXSL, GBDC","Blackstone Credit Advisors, GC Advisors",Professional Services (continued),190.926,190.674,0.0013,6/12/2024,,,False,,False,,2025-09-30,2025-12-31,2
"Axsome Therapeutics, Inc.",axsome therapeutics,7,YELLOW,1,1,2,2,"Axsome Therapeutics, Inc.","BXSL, HTGC","Blackstone Credit Advisors, Hercules Capital (internal)",Biotechnology,189.909,171.011,0.1105,5/6/2025,2.2,220.0,False,,False,,2025-09-30,2025-12-31,2
Sorenson Communications LLC,sorenson communications,7,YELLOW,1,1,2,2,Sorenson Communications LLC,"FSK, OCSL","FS/KKR Advisor, Oaktree Capital Management",Telecommunication Services,180.695,191.456,-0.0562,4/1/30,5.75,,False,,False,,2025-09-30,2025-12-31,2
"Summer Fridays, LLC",summer fridays,7,YELLOW,1,1,2,2,"Summer Fridays, LLC","BCSF, MFIC","Apollo Investment Management, L.P., Bain Capital Credit",Consumer Goods: Non-Durable,179.794,46.236,2.8886,05/16/31,1.09,,False,,False,,2025-09-30,2025-12-31,2
"Sigma Defense Systems, LLC",sigma defense,7,YELLOW,1,1,2,1,"Sigma Defense Systems, LLC","PFLT, PNNT",PennantPark Investment Advisers,IT Services,167.245,187.912,-0.11,12/20/27,10.48,,False,,False,,2025-09-30,2025-12-31,2
"North American Rail Solutions, LLC",north american rail,7,YELLOW,1,1,2,1,"North American Rail Solutions, LLC","PFLT, PNNT",PennantPark Investment Advisers,Manufacturing/Basic Industry,166.697,187.556,-0.1112,08/29/31,8.42,,False,,False,,2025-09-30,2025-12-31,2
"ESO Solutions, Inc.",eso solutions,7,YELLOW,1,1,2,2,"ESO Solutions, Inc.","GSBD, TCPC","Goldman Sachs Asset Management, Tennenbaum Capital Partners (BlackRock)",Health Care Technology,161.5856,160.929,0.0041,05/03/27,9.17,,False,,False,,2025-09-30,2025-12-31,2
Xactly Corporation,xactly,7,YELLOW,1,1,2,2,Xactly Corporation,"GSBD, TCPC","Goldman Sachs Asset Management, Tennenbaum Capital Partners (BlackRock)",IT Services,151.911,152.4144,-0.0033,07/30/27,9.71,,False,,False,,2025-09-30,2025-12-31,2
"GGG Midco, LLC",ggg,7,YELLOW,1,1,2,1,"GGG Midco, LLC","PFLT, PNNT",PennantPark Investment Advisers,Diversified Consumer Services,150.492,174.614,-0.1381,09/27/30,8.8,,False,,False,,2025-09-30,2025-12-31,2
Spins LLC,spins,7,YELLOW,1,1,2,2,Spins LLC,"FSK, GSBD","FS/KKR Advisor, Goldman Sachs Asset Management",Software & Services,144.305,142.937,0.0096,1/20/27,9.71,,False,,False,,2025-09-30,2025-12-31,2
"MonitorUS Holding, LLC",monitorus,7,YELLOW,1,1,2,2,"MonitorUS Holding, LLC","MAIN, SCM","Main Street Capital (internal), Stellus Capital Management",​,139.209,138.096,0.0081,5/24/2022,10.86,,False,,False,,2025-09-30,2025-12-31,2
"Digital.ai Software Holdings, Inc.",digital ai,7,YELLOW,1,1,2,2,"Digital.ai Software Holdings, Inc.","MFIC, OCSL","Apollo Investment Management, L.P., Oaktree Capital Management",Digital.ai,136.761,139.448,-0.0193,08/10/28,5.16,,False,,False,,2025-09-30,2025-12-31,2
"Lindstrom, LLC",lindstrom,7,YELLOW,1,1,2,2,"Lindstrom, LLC","BXSL, MFIC","Apollo Investment Management, L.P., Blackstone Credit Advisors",Building Products,131.501,132.826,-0.01,12/30/32,0.75,,False,,False,,2025-12-31,2025-12-31,1
"Project Potter Buyer, LLC",potter,7,YELLOW,1,1,2,2,"Project Potter Buyer, LLC","ARCC, MSDL","Ares Capital Management, Morgan Stanley Investment Management",Building Products,129.175,129.181,-0.0,04/2027,8.92,,False,,False,,2025-09-30,2025-12-31,2
"Berner Food & Beverage, LLC",berner food,7,YELLOW,1,1,2,2,"Berner Food & Beverage, LLC","MFIC, OCSL","Apollo Investment Management, L.P., Oaktree Capital Management",Berner Foods,125.476,127.038,-0.0123,07/30/26,4.96,,False,,False,,2025-09-30,2025-12-31,2
"Extrahop Networks, Inc.",extrahop networks,7,YELLOW,1,1,2,2,"Extrahop Networks, Inc.","ARCC, TSLX","Ares Capital Management, Sixth Street Partners",Business Services,118.29,117.564,0.0062,07/2027,7.91,660.0,False,,False,,2025-09-30,2025-12-31,2
"Cards-Live Oak Holdings, Inc.",cards live,7,YELLOW,1,1,2,2,"Cards-Live Oak Holdings, Inc.","ARCC, MFIC","Apollo Investment Management, L.P., Ares Capital Management",CARDS + Live Oak,112.213,59.45,0.8875,10/21/32,8.07,,False,,False,,2025-12-31,2025-12-31,1
